File Path,Error Message,Error Type,Line Number,Code Context
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/tokenization/index.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<p><span style=""font-weight: 400;"">Tokenization is the process of substituting the card’s sensitive data, such as an account number, with non-sensitive, surrogate data, called a token. The PAN (Primary Account Number) is usually replaced with a unique string of numbers that acts as a secure reference to the card. </span></p>
<p><span style=""font-weight: 400;"">Only the token is provided when a payment transaction is initiated, without revealing the original card details. This desensitization greatly improves the security of transactions. </span></p>
<p><span style=""font-weight: 400;"">The Sprint platform allows you to take advantage of the tokenization technology—both by facilitating the provisioning of the cards and by providing control over the token lifecycle management process. With an existing virtual or physical card that has been issued by Paymentology, enabling card tokenization becomes easier.</span></p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/tokenization/lifecycle-management.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/tokenization""
---
<p>Token lifecycle management refers to handling the different states of the token, from creation to expiry. All tokens have a lifecycle; that is, the series of events happening from the date of creation to the expiry date when they’re no longer valid. The expiry date is usually linked to the expiry date of the full PAN that was used for provisioning.</p>
<p>Token lifecycle management involves passing messages between Paymentology and MDES that notify the client of the following token events:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/tokenization/provisioning.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/tokenization""
---
<p>Provisioning is the process whereby a payment service provider (token requester) asks for a token to be created for a PAN.</p>
<p>Provisioning basically follows these steps:</p>
<p><img loading=""lazy"" decoding=""async"" class=""aligncenter size-full wp-image-1556"" src=""https://developer.sprint.paymentology.com/wp-content/uploads/2023/03/Tokenization-Flow_02-v2-1.png"" alt=""Provisioning flow"" width=""4114"" height=""3200"" /></p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/chargeback-api-reference/document-status.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""chargeback-api/chargeback-api-reference""
---
<p>Once a document is uploaded, use this method to verify the status of document.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/chargeback-api-reference/first-chargeback.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""chargeback-api/chargeback-api-reference""
---
<p>After successfully connecting to the API Proxy, you can send the <b><i>fields/parameters</i></b> for the API request (as specified below) and receive a <b><i>response</i></b>.</p>
<p>A successfully submitted First Chargeback will remain in a &#8220;pending status&#8221; (no more than 72 hours) on issuers&#8217; behalf to allow merchants to respond and resolve the inquiry.</p>
"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/chargeback-api-reference/index.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""chargeback-api""
---
<p>The Chargeback API contains the endpoints that you call in order to create chargebacks as well as maintain the chargeback lifecycle.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/chargeback-api-reference/pre-arbitration.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""chargeback-api/chargeback-api-reference""
---
<p>This method is used to submit a Pre-Arbitration case.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/chargeback-api-reference/second-presentment-documents.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""chargeback-api/chargeback-api-reference""
---
<p>Once in the 2nd Presentment phase, this API method is used to receive the supporting documents raised by the acquirer for a claim.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/chargeback-api-reference/upload-supporting-document.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""chargeback-api/chargeback-api-reference""
---
<p>This API method is used to upload a supporting document after a chargeback is successfully created.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/chargeback-reason-codes.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""chargeback-api""
---
<p>Below are the Chargeback Reason Codes, these are the only valid reasons acceptable for a chargeback.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/connectivity.md,Could not parse expression with acorn,mdx-parse-error,8,"---
<p>This page explains how to connect to our Chargeback API gateway.<br />
Connecting to the Chargeback API means you can automate submissions of your chargebacks.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/chargeback-api/index.md,Could not parse expression with acorn,mdx-parse-error,6,"original_id: 2905
---
<p>Our Chargeback API makes managing the chargeback lifecycle faster and easier.</p>
<p>Find out how our Chargeback API works through the links below:</p>
"
