wp_id,wp_title,wp_url,wp_slug,wp_status,matched_path,match_kind,match_confidence,migration_status,review_risk,notes
4792,UploadFicaDocument,https://developer.sprint.paymentology.com/profile-api-reference/uploadficadocument/,uploadficadocument,publish,docs/profile-api-reference/uploadficadocument.md,url_path,1.0,matched,high,
5146,VasTransferFunds,https://developer.sprint.paymentology.com/profile-api-reference/vastransferfunds/,vastransferfunds,publish,docs/profile-api-reference/vastransferfunds.md,url_path,1.0,matched,high,
3612,VAU transaction report,https://developer.sprint.paymentology.com/card-api/reports/vau-transaction-report/,vau-transaction-report,publish,docs/card-api/reports/vau-transaction-report.md,url_path,1.0,matched,,
4443,VAU transaction report,https://developer.sprint.paymentology.com/companion-api/reports/vau-transaction-report/,vau-transaction-report,publish,docs/card-api/reports/vau-transaction-report.md,url_leaf,0.85,matched,,
2017,3D Secure,https://developer.sprint.paymentology.com/companion-api/manage-funds/3d-secure/,3d-secure,publish,docs/companion-api/manage-funds/3d-secure.md,url_path,1.0,matched,,
1312,AddCardTag,https://developer.sprint.paymentology.com/card-api/api-reference/addcardtag/,addcardtag,publish,docs/card-api/api-reference-card/addcardtag.md,title,0.75,needs-review,,
1363,Administrative message values,https://developer.sprint.paymentology.com/companion-api/api-reference/remote/administrativemessage/administrative-message-values/,administrative-message-values,publish,docs/companion-api/api-reference-companion/remote/administrativemessage/administrative-message-values.md,title,0.75,needs-review,high,
3016,AllocateCard,https://developer.sprint.paymentology.com/profile-api-reference/allocatecard/,allocatecard,publish,docs/profile-api-reference/allocatecard.md,url_path,1.0,matched,high,
2910,Chargeback API REFERENCE,https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/,chargeback-api-reference,publish,docs/chargeback-api/chargeback-api-reference/index.md,url_path,1.0,matched,medium,
1778,CreateLinkedCard,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/createlinkedcard/,createlinkedcard,publish,docs/companion-api/api-reference-companion/local-api/createlinkedcard.md,title,0.75,needs-review,,
1820,Deduct,https://developer.sprint.paymentology.com/companion-api/api-reference/remote/deduct/,deduct,publish,docs/companion-api/api-reference-companion/remote/deduct.md,title,0.75,needs-review,,
1663,Digital First,https://developer.sprint.paymentology.com/companion-api/issue-cards/digital-first/,digital-first,publish,docs/companion-api/issue-cards/digital-first.md,url_path,1.0,matched,,
1030,Help,https://developer.sprint.paymentology.com/tools/checksum-generator/checksum-generator-help/,checksum-generator-help,publish,docs/tools/checksum-generator/checksum-generator-help.md,url_path,1.0,matched,,
1032,Help,https://developer.sprint.paymentology.com/tools/xml-generator/help/,help,publish,docs/tools/3d-secure-customization/help.md,url_leaf,0.85,matched,,
1038,Help,https://developer.sprint.paymentology.com/tools/simpos/help/,help,publish,docs/tools/3d-secure-customization/help.md,url_leaf,0.85,matched,,
3278,Help,https://developer.sprint.paymentology.com/tools/3d-secure-customization/help/,help,publish,docs/tools/3d-secure-customization/help.md,url_path,1.0,matched,,
153,Issue cards,https://developer.sprint.paymentology.com/companion-api/issue-cards/,issue-cards,publish,docs/companion-api/issue-cards/index.md,url_path,1.0,matched,,
204,Issue cards,https://developer.sprint.paymentology.com/card-api/issue-card/,issue-card,publish,docs/card-api/issue-card.md,url_path,1.0,matched,,
493,Local API,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/,local-api,publish,docs/companion-api/api-reference-companion/local-api/index.md,title,0.75,needs-review,,
2756,Offline PIN,https://developer.sprint.paymentology.com/companion-api/secure-cards/offline-pin/,offline-pin,publish,docs/companion-api/secure-cards/offline-pin.md,url_path,1.0,matched,,
2760,Offline PIN,https://developer.sprint.paymentology.com/card-api/secure-cards/offline-pin/,offline-pin,publish,docs/companion-api/secure-cards/offline-pin.md,url_leaf,0.85,matched,,
63,Our APIs,https://developer.sprint.paymentology.com/get-started/our-apis/,our-apis,publish,docs/Getting Started/our-apis.md,title,0.75,needs-review,,
1671,Payments,https://developer.sprint.paymentology.com/companion-api/tokenization2/token-payments/,token-payments,publish,docs/companion-api/tokenization2/token-payments.md,url_path,1.0,matched,,
1685,Payments,https://developer.sprint.paymentology.com/card-api/tokenization/payments/,payments,publish,docs/card-api/tokenization/payments.md,url_path,1.0,matched,,
897,QR payments,https://developer.sprint.paymentology.com/qr-payments-api/qr-payments/,qr-payments,publish,docs/qr-payments-api/qr-payments.md,url_path,1.0,matched,medium,
907,Receiving Institution,https://developer.sprint.paymentology.com/qr-payments-api/api-reference/receiving-institution/,receiving-institution,publish,docs/qr-payments-api/api-reference-qr/receiving-institution.md,title,0.75,needs-review,,
2149,Remote Messaging API,https://developer.sprint.paymentology.com/card-api/api-reference/remotemessaging/,remotemessaging,publish,docs/card-api/api-reference-card/remotemessaging.md,url_leaf,0.85,matched,,
2253,Reporting API (companion),https://developer.sprint.paymentology.com/reporting-api-2/,reporting-api-2,publish,docs/documentation/reporting-api-2.md,url_leaf,0.85,matched,high,
771,Response Codes,https://developer.sprint.paymentology.com/card-api/api-reference/appendix/,appendix,publish,docs/card-api/api-reference-card/appendix.md,url_leaf,0.85,matched,,
363,SimPOS,https://developer.sprint.paymentology.com/tools/simpos/,simpos,publish,docs/tools/simpos/index.md,url_path,1.0,matched,,
3114,Summary settlement report,https://developer.sprint.paymentology.com/companion-api/reports/summary-settlement-report/,summary-settlement-report,publish,docs/companion-api/reports/summary-settlement-report.md,url_path,1.0,matched,,
3134,Summary settlement report,https://developer.sprint.paymentology.com/card-api/reports/summary-settlement-report-2/,summary-settlement-report-2,publish,docs/card-api/reports/summary-settlement-report-2.md,url_path,1.0,matched,high,
1206,AddPocket,https://developer.sprint.paymentology.com/card-api/api-reference/addpocket/,addpocket,publish,docs/card-api/api-reference-card/addpocket.md,title,0.75,needs-review,,
2046,AFD Transactions,https://developer.sprint.paymentology.com/companion-api/manage-funds/automated-fuel-dispensers-afd-transactions/,automated-fuel-dispensers-afd-transactions,publish,docs/companion-api/manage-funds/automated-fuel-dispensers-afd-transactions.md,url_path,1.0,matched,,
2735,AllocateCreateVirtualCard,https://developer.sprint.paymentology.com/profile-api-reference/allocatecreatevirtualcard/,allocatecreatevirtualcard,publish,docs/profile-api-reference/allocatecreatevirtualcard.md,url_path,1.0,matched,high,
1822,DeductAdjustment,https://developer.sprint.paymentology.com/companion-api/api-reference/remote/deductadjustment/,deductadjustment,publish,docs/companion-api/api-reference-companion/remote/deductadjustment.md,title,0.75,needs-review,,
3116,Detailed settlement report,https://developer.sprint.paymentology.com/companion-api/reports/detailed-settlement-report/,detailed-settlement-report,publish,docs/card-api/reports/detailed-settlement-report.md,url_leaf,0.85,matched,,
3136,Detailed settlement report,https://developer.sprint.paymentology.com/card-api/reports/detailed-settlement-report/,detailed-settlement-report,publish,docs/card-api/reports/detailed-settlement-report.md,url_path,1.0,matched,,
2924,First Chargeback,https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/first-chargeback/,first-chargeback,publish,docs/chargeback-api/chargeback-api-reference/first-chargeback.md,url_path,1.0,matched,high,
155,Manage cards,https://developer.sprint.paymentology.com/companion-api/manage-cards/,manage-cards,publish,docs/card-api/manage-cards.md,url_leaf,0.85,matched,medium,
206,Manage cards,https://developer.sprint.paymentology.com/card-api/manage-cards/,manage-cards,publish,docs/card-api/manage-cards.md,url_path,1.0,matched,medium,
909,Originating Institution,https://developer.sprint.paymentology.com/qr-payments-api/api-reference/originating-institution/,originating-institution,publish,docs/qr-payments-api/api-reference-qr/originating-institution.md,title,0.75,needs-review,,
1425,PrintLinkedCard,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/printlinkedcard/,printlinkedcard,publish,docs/companion-api/api-reference-companion/local-api/printlinkedcard.md,title,0.75,needs-review,,
1673,Processing,https://developer.sprint.paymentology.com/companion-api/tokenization2/token-processing/,token-processing,publish,docs/companion-api/tokenization2/token-processing.md,url_path,1.0,matched,,
1687,Processing,https://developer.sprint.paymentology.com/card-api/tokenization/processing/,processing,publish,docs/card-api/tokenization/processing.md,url_path,1.0,matched,,
1576,Security,https://developer.sprint.paymentology.com/get-started/security/,security,publish,docs/Getting Started/security.md,title,0.75,needs-review,medium,
1303,SimPOS Result Codes,https://developer.sprint.paymentology.com/tools/simpos/simpos-result-codes/,simpos-result-codes,publish,docs/tools/simpos/simpos-result-codes.md,url_path,1.0,matched,,
361,XML Generator,https://developer.sprint.paymentology.com/tools/xml-generator/,xml-generator,publish,docs/tools/xml-generator/index.md,url_path,1.0,matched,,
1210,BearerDetail,https://developer.sprint.paymentology.com/card-api/api-reference/bearerdetail/,bearerdetail,publish,docs/card-api/api-reference-card/bearerdetail.md,title,0.75,needs-review,,
1824,DeductReversal,https://developer.sprint.paymentology.com/companion-api/api-reference/remote/deductreversal/,deductreversal,publish,docs/companion-api/api-reference-companion/remote/deductreversal.md,title,0.75,needs-review,,
3119,Forex gains report,https://developer.sprint.paymentology.com/companion-api/reports/forex-gains-report/,forex-gains-report,publish,docs/companion-api/reports/forex-gains-report.md,url_path,1.0,matched,,
3138,Forex gains report,https://developer.sprint.paymentology.com/card-api/reports/forex-gains-report-2/,forex-gains-report-2,publish,docs/card-api/reports/forex-gains-report-2.md,url_path,1.0,matched,,
70,Get connected,https://developer.sprint.paymentology.com/get-started/testing/,testing,publish,docs/Getting Started/testing.md,url_leaf,0.85,matched,,
2488,OrderCard,https://developer.sprint.paymentology.com/profile-api-reference/ordercard/,ordercard,publish,docs/card-api/api-reference-card/ordercard.md,url_leaf,0.85,matched,,
1675,Provisioning,https://developer.sprint.paymentology.com/companion-api/tokenization2/token-provisioning/,token-provisioning,publish,docs/companion-api/tokenization2/token-provisioning.md,url_path,1.0,matched,,
1689,Provisioning,https://developer.sprint.paymentology.com/card-api/tokenization/provisioning/,provisioning,publish,docs/card-api/tokenization/provisioning.md,url_path,1.0,matched,,
911,Receiving Institution (Remote),https://developer.sprint.paymentology.com/qr-payments-api/api-reference/receiving-institution-remote/,receiving-institution-remote,publish,docs/qr-payments-api/api-reference-qr/receiving-institution-remote.md,title,0.75,needs-review,,
495,Remote,https://developer.sprint.paymentology.com/companion-api/api-reference/remote/,remote,publish,,,0.0,missing,high,"No ReadMe candidate matched URL path, slug, filename, or title."
2371,Reports,https://developer.sprint.paymentology.com/qr-payments-api/reports/,reports,publish,,title,0.75,duplicate,high,"Multiple ReadMe candidates: docs/card-api/reports/index.md, docs/companion-api/reports/index.md"
157,Secure cards,https://developer.sprint.paymentology.com/companion-api/secure-cards/,secure-cards,publish,docs/companion-api/secure-cards/index.md,url_path,1.0,matched,,
302,Secure cards,https://developer.sprint.paymentology.com/card-api/secure-cards/,secure-cards,publish,,title,0.75,duplicate,high,"Multiple ReadMe candidates: docs/card-api/secure-cards-1/index.md, docs/companion-api/secure-cards/index.md"
1262,ToggleVoucherFeature,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/togglevoucherfeature/,togglevoucherfeature,publish,docs/card-api/api-reference-card/togglevoucherfeature.md,url_leaf,0.85,matched,,
2926,Upload Supporting Document,https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/upload-supporting-document/,upload-supporting-document,publish,docs/chargeback-api/chargeback-api-reference/upload-supporting-document.md,url_path,1.0,matched,high,
1160,XML Poster,https://developer.sprint.paymentology.com/tools/xml-poster/,xml-poster,publish,docs/tools/xml-poster.md,url_path,1.0,matched,,
3189,3D Secure Screen Customization,https://developer.sprint.paymentology.com/tools/3d-secure-customization/,3d-secure-customization,publish,docs/tools/3d-secure-customization/index.md,url_path,1.0,matched,,
905,API REFERENCE,https://developer.sprint.paymentology.com/qr-payments-api/api-reference/,api-reference,publish,docs/companion-api/api-reference-companion/index.md,title,0.75,needs-review,,
936,Appendix,https://developer.sprint.paymentology.com/qr-payments-api/api-reference/appendix/,appendix,publish,docs/card-api/api-reference-card/appendix.md,url_leaf,0.85,matched,,
1212,CardDetail,https://developer.sprint.paymentology.com/card-api/api-reference/carddetail/,carddetail,publish,docs/card-api/api-reference-card/carddetail.md,url_leaf,0.85,matched,,
359,Checksum Generator,https://developer.sprint.paymentology.com/tools/checksum-generator/,checksum-generator,publish,docs/tools/checksum-generator/index.md,url_path,1.0,matched,,
2345,Client Card Program,https://developer.sprint.paymentology.com/get-started/client-card-program/,client-card-program,publish,docs/Getting Started/client-card-program.md,title,0.75,needs-review,,
